Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
58,Mike McKenna\mckenmi01,35,TOT,11,7,1,5,1,34,316,282,.892,3.99,0,1.2,511,3,.429,1,117,-5.05,0,0,0,0
58,Mike McKenna\mckenmi01,35,OTT,10,6,1,4,1,30,292,262,.897,3.96,0,1.3,454,3,.500,0,112,-3.25,0,0,0,0
58,Mike McKenna\mckenmi01,35,PHI,1,1,0,1,0,4,24,20,.833,4.22,0,-0.1,57,0,.000,1,,,0,0,0,0
59,Ryan Miller\millery01,38,ANA,11,8,5,2,1,25,319,294,.922,2.64,0,2.2,568,6,.750,0,86,4.22,0,0,0,0
60,Hunter Miska\miskahu01,23,ARI,1,0,0,0,0,1,9,8,.889,3.28,0,0.0,18,0,,0,,,0,0,0,0
61,Petr Mrazek\mrazepe01,26,CAR,28,28,13,12,3,73,743,670,.902,2.63,3,3.6,1663,13,.464,4,107,-4.94,0,0,0,4
62,Matt Murray\murrama02,24,PIT,29,29,17,10,1,80,920,840,.913,2.93,3,5.6,1636,15,.517,9,95,4.28,0,0,0,4
63,Alex Nedeljkovic\nedelal01,23,CAR,1,1,1,0,0,2,26,24,.923,2.00,0,0.2,60,1,1.000,0,,,0,0,0,0
64,Michal Neuvirth\neuvimi01,30,PHI,7,6,1,4,1,26,184,158,.859,4.27,0,0.1,366,1,.167,4,,,0,0,0,0
65,Antti Niemi\niemian02,35,MTL,16,16,8,5,2,57,515,458,.889,3.75,0,1.9,911,4,.250,4,121,-9.82,0,1,1,0
66,Anders Nilsson\nilssan01,28,TOT,25,24,10,14,1,68,779,711,.913,2.77,1,4.7,1471,10,.417,3,95,3.36,0,1,1,0
66,Anders Nilsson\nilssan01,28,OTT,13,12,7,6,0,31,426,395,.927,2.47,1,3.2,753,6,.500,1,79,8.02,0,1,1,0
66,Anders Nilsson\nilssan01,28,VAN,12,12,3,8,1,37,353,316,.895,3.09,0,1.5,718,4,.333,2,114,-4.66,0,0,0,0
67,Eddie Pasquale\pasqued01,28,TBL,1,1,1,0,0,5,24,19,.792,4.62,0,-0.2,65,0,.000,1,,,0,0,0,0
68,Calvin Petersen\peterca01,24,LAK,11,10,5,4,1,27,355,328,.924,2.61,1,2.6,622,6,.600,1,83,5.52,0,0,0,0
69,Calvin Pickard\pickaca01,26,TOT,13,10,4,4,2,37,297,260,.875,3.82,1,0.6,581,4,.400,4,136,-9.79,0,0,0,2
69,Calvin Pickard\pickaca01,26,PHI,11,8,4,2,2,31,227,196,.863,4.01,1,0.2,464,2,.250,4,,,0,0,0,2
69,Calvin Pickard\pickaca01,26,ARI,2,2,0,2,0,6,70,64,.914,3.07,0,0.4,117,2,1.000,0,,,0,0,0,0
70,Carey Price\priceca01,31,MTL,45,43,23,16,5,113,1340,1227,.916,2.58,3,8.5,2632,22,.512,3,92,9.75,0,1,1,2
71,Jonathan Quick\quickjo01,33,LAK,30,30,11,14,5,91,897,806,.899,3.09,2,4.1,1765,13,.433,7,111,-8.83,0,1,1,6
72,Antti Raanta\raantan01,29,ARI,12,12,5,6,0,33,351,318,.906,2.88,0,1.9,687,6,.500,1,103,-0.85,0,1,1,0
73,Tuukka Rask\rasktu01,31,BOS,32,31,19,8,4,72,905,833,.920,2.37,2,6.2,1823,17,.548,1,87,10.90,0,1,1,4
74,James Reimer\reimeja01,30,FLA,32,25,12,10,5,84,851,767,.901,3.05,0,4.1,1652,8,.320,4,108,-6.04,0,0,0,0
75,Pekka Rinne\rinnepe01,36,NSH,41,40,20,15,3,95,1124,1029,.915,2.47,3,7.1,2312,20,.500,5,92,7.96,0,0,0,4
76,David Rittich\rittida01,26,CGY,34,31,20,5,5,82,923,841,.911,2.66,1,5.4,1851,19,.613,6,97,2.55,0,0,0,4
77,Juuse Saros\sarosju01,23,NSH,25,21,14,7,2,60,683,623,.912,2.70,2,4.1,1334,10,.476,5,96,2.57,0,0,0,0
78,Cory Schneider\schneco01,32,NJD,14,11,2,7,2,40,343,303,.883,3.69,0,1.0,651,3,.273,3,127,-8.58,0,0,0,0
79,Mike Smith\smithmi01,36,CGY,29,27,15,11,2,84,770,686,.891,3.09,2,2.9,1630,11,.407,7,119,-13.46,0,3,3,2
80,Garret Sparks\sparkga01,25,TOR,13,12,7,4,1,35,382,347,.908,2.86,1,2.1,735,6,.500,2,100,-0.01,0,0,0,0
81,Alex Stalock\staloal01,31,MIN,16,12,6,6,1,40,362,322,.890,3.08,0,1.3,780,6,.500,1,121,-6.84,0,2,2,4
82,Anthony Stolarz\stolaan01,25,PHI,12,10,4,3,3,35,358,323,.902,3.33,1,1.8,630,4,.400,2,107,-2.21,0,0,0,0
83,Malcolm Subban\subbama01,25,VEG,9,8,3,5,0,23,258,235,.911,2.72,0,1.5,507,4,.500,2,97,0.63,0,0,0,2
84,Cam Talbot\talboca01,31,EDM,31,29,10,15,3,95,888,793,.893,3.36,1,3.5,1695,9,.310,9,117,-13.65,0,1,1,0
85,Linus Ullmark\ullmali01,25,BUF,26,24,13,6,4,74,819,745,.910,2.98,2,4.7,1490,14,.583,5,99,1.02,0,1,1,0
86,Semyon Varlamov\varlasi01,30,COL,38,38,14,15,8,106,1129,1023,.906,2.91,1,6.1,2185,20,.526,9,102,-2.58,0,0,0,2
87,Andrei Vasilevskiy\vasilan02,24,TBL,36,36,25,7,4,84,1168,1084,.928,2.32,6,9.0,2173,22,.611,4,79,22.99,0,2,2,2
88,Cam Ward\wardca01,34,CHI,26,24,12,9,4,91,873,782,.896,3.66,0,3.7,1493,13,.542,5,114,-11.03,0,0,0,4
