Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
598,Kyle Palmieri\palmiky01,27,NJD,RW,59,26,21,47,-4,38,5.9,15,11,0,2,14,7,0,188,13.8,1084,18:22,30,86,20,55,26.7
599,Artemi Panarin\panarar01,27,CBJ,LW,55,24,43,67,16,14,8.2,18,6,0,7,35,8,0,146,16.4,1112,20:13,15,10,1,1,50.0
600,Richard Panik\panikri01,27,ARI,RW,54,11,13,24,-9,32,2.6,10,0,1,2,11,2,0,102,10.8,911,16:52,39,93,4,9,30.8
601,Cedric Paquette\paquece01,25,TBL,C,58,9,4,13,5,58,1.3,8,0,1,1,4,0,0,60,15.0,681,11:45,47,204,277,253,52.3
602,Colton Parayko\parayco01,25,STL,D,58,9,9,18,16,6,7.4,6,3,0,3,7,1,1,136,6.6,1314,22:40,108,89,0,0,
603,Zach Parise\parisza01,34,MIN,LW,58,23,26,49,0,22,5.9,15,8,0,4,20,4,2,189,12.2,1084,18:41,55,41,4,14,22.2
604,David Pastrnak\pastrda01,22,BOS,RW,56,31,35,66,1,20,8.7,16,15,0,2,21,14,0,206,15.0,1066,19:02,24,45,1,2,33.3
605,Greg Pateryn\patergr01,28,MIN,D,58,0,3,3,-9,35,1.7,0,0,0,0,3,0,0,68,0.0,960,16:33,82,96,0,1,0.0
606,Nolan Patrick\patrino01,20,PHI,C,52,12,11,23,-4,21,2.4,11,1,0,3,10,1,0,93,12.9,771,14:49,21,53,286,265,51.9
607,Nick Paul\paulni01,23,OTT,LW,20,1,1,2,-10,4,-0.3,1,0,0,0,1,0,0,30,3.3,169,8:28,4,28,16,19,45.7
608,Joe Pavelski\paveljo01,34,SJS,C,59,31,21,52,4,18,6.6,22,8,1,3,13,8,0,153,20.3,1135,19:14,50,61,440,382,53.5
609,Tanner Pearson\pearsta01,26,TOT,LW,58,9,6,15,-14,14,0.7,8,1,0,0,5,1,0,101,8.9,788,13:35,28,98,4,10,28.6
609,Tanner Pearson\pearsta01,26,PIT,LW,41,9,5,14,-5,6,1.2,8,1,0,0,4,1,0,77,11.7,558,13:37,25,80,3,6,33.3
609,Tanner Pearson\pearsta01,26,LAK,LW,17,0,1,1,-9,8,-0.5,0,0,0,0,1,0,0,24,0.0,230,13:30,3,18,1,4,20.0
610,Matthew Peca\pecama01,25,MTL,C,34,3,7,10,-10,4,0.4,3,0,0,0,6,0,1,29,10.3,363,10:40,17,27,74,83,47.1
611,Adam Pelech\pelecad01,24,NYI,D,54,3,9,12,15,16,5.0,3,0,0,0,9,0,0,65,4.6,961,17:48,77,100,0,0,
612,Anthony Peluso\pelusan01,29,CGY,RW,4,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,1,0.0,16,4:07,0,4,0,0,
613,Brendan Perlini\perlibr01,22,TOT,LW,50,5,5,10,-20,26,0.1,3,2,0,0,3,2,0,79,6.3,576,11:31,15,40,1,6,14.3
613,Brendan Perlini\perlibr01,22,CHI,LW,28,3,1,4,-15,18,-0.3,3,0,0,0,1,0,0,39,7.7,275,9:48,8,27,1,4,20.0
613,Brendan Perlini\perlibr01,22,ARI,LW,22,2,4,6,-5,8,0.4,0,2,0,0,2,2,0,40,5.0,301,13:41,7,13,0,2,0.0
614,Mathieu Perreault\perrema01,31,WPG,C,59,11,10,21,-4,26,2.1,8,3,0,2,7,3,0,73,15.1,747,12:40,14,82,26,26,50.0
615,David Perron\perroda01,30,STL,LW,45,17,18,35,3,36,4.7,13,4,0,1,12,6,0,85,20.0,770,17:06,11,41,15,18,45.5
616,Corey Perry\perryco01,33,ANA,RW,8,1,2,3,-7,6,0.0,0,1,0,0,1,1,0,21,4.8,138,17:17,0,3,0,0,
617,Brett Pesce\pescebr01,24,CAR,D,50,5,10,15,21,16,6.2,5,0,0,1,9,0,1,71,7.0,989,19:47,93,41,0,0,
618,Nic Petan\petanni01,23,WPG,C,13,0,2,2,-2,2,0.0,0,0,0,0,2,0,0,10,0.0,94,7:13,2,0,5,3,62.5
619,Alexander Petrovic\petroal01,26,TOT,D,35,0,2,2,-15,26,0.1,0,0,0,0,2,0,0,47,0.0,578,16:32,53,116,0,0,
619,Alexander Petrovic\petroal01,26,FLA,D,26,0,1,1,-8,24,0.4,0,0,0,0,1,0,0,40,0.0,452,17:23,42,86,0,0,
619,Alexander Petrovic\petroal01,26,EDM,D,9,0,1,1,-7,2,-0.2,0,0,0,0,1,0,0,7,0.0,126,14:02,11,30,0,0,
620,Jeff Petry\petryje01,31,MTL,D,59,10,28,38,-8,20,6.3,8,2,0,3,20,7,1,125,8.0,1370,23:13,88,154,0,1,0.0
621,Elias Pettersson\petteel01,20,VAN,C,49,26,28,54,15,6,7.6,18,8,0,7,21,7,0,108,24.1,898,18:19,35,31,194,284,40.6
622,Marcus Pettersson\pettema01,22,TOT,D,61,2,16,18,12,48,4.1,1,1,0,0,14,2,0,57,3.5,946,15:30,82,69,1,0,100.0
622,Marcus Pettersson\pettema01,22,PIT,D,34,2,10,12,8,31,2.5,1,1,0,0,8,2,0,42,4.8,567,16:41,50,53,1,0,100.0
622,Marcus Pettersson\pettema01,22,ANA,D,27,0,6,6,4,17,1.6,0,0,0,0,6,0,0,15,0.0,379,14:01,32,16,0,0,
623,Dion Phaneuf\phanedi01,33,LAK,D,49,1,3,4,-16,36,0.8,1,0,0,0,3,0,0,52,1.9,713,14:32,61,90,0,0,
624,Blake Pietila\pietibl01,25,NJD,LW,7,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,3,0.0,75,10:44,3,13,0,0,
625,Alex Pietrangelo\pietral01,29,STL,D,47,8,18,26,5,20,6.7,7,1,0,1,12,6,0,105,7.6,1117,23:46,99,46,0,1,0.0
626,Lawrence Pilut\pilutla01,23,BUF,D,24,1,5,6,-2,18,1.2,1,0,0,0,5,0,0,25,4.0,415,17:18,26,12,0,0,
627,Neal Pionk\pionkne01,23,NYR,D,50,5,15,20,-8,33,3.7,3,2,0,1,5,10,0,97,5.2,1089,21:47,77,100,0,1,0.0
628,Brandon Pirri\pirribr01,27,VEG,C,20,10,5,15,8,4,2.5,7,3,0,3,4,1,0,54,18.5,294,14:41,6,16,13,15,46.4
629,Tyler Pitlick\pitlity01,27,DAL,C,43,6,4,10,-2,6,1.0,5,1,0,1,4,0,0,68,8.8,588,13:41,27,87,5,7,41.7
630,Tomas Plekanec\plekato01,36,MTL,C,3,1,0,1,0,0,0.2,1,0,0,0,0,0,0,8,12.5,33,10:53,1,1,19,19,50.0
631,Brayden Point\pointbr01,22,TBL,C,58,33,42,75,17,20,9.6,17,16,0,6,30,12,0,147,22.4,1084,18:41,27,28,316,307,50.7
632,Roman Polak\polakro01,32,DAL,D,55,1,6,7,-2,53,3.3,1,0,0,0,6,0,0,60,1.7,1051,19:07,110,141,0,0,
633,Jason Pominville\pominja01,36,BUF,RW,52,13,11,24,5,4,2.9,12,1,0,3,10,1,0,96,13.5,660,12:42,17,12,10,12,45.5
634,Derrick Pouliot\poulide01,25,VAN,D,54,3,8,11,0,24,3.1,2,1,0,1,8,0,0,51,5.9,922,17:05,66,67,0,0,
635,Nate Prosser\prossna01,32,MIN,D,15,0,0,0,1,2,0.4,0,0,0,0,0,0,0,10,0.0,153,10:13,13,17,0,0,
636,Dalton Prout\proutda01,28,CGY,D,11,0,0,0,0,6,0.1,0,0,0,0,0,0,0,8,0.0,127,11:35,10,19,0,0,
637,Ivan Provorov\provoiv01,22,PHI,D,59,6,15,21,-14,32,4.3,6,0,0,1,13,2,0,107,5.6,1487,25:12,106,77,0,1,0.0
638,Jesse Puljujarvi\puljuje01,20,EDM,RW,46,4,5,9,-14,16,0.1,4,0,0,0,4,1,0,53,7.5,550,11:57,26,46,2,2,50.0
639,Ryan Pulock\pulocry01,24,NYI,D,58,6,21,27,14,14,7.5,3,3,0,2,18,3,0,126,4.8,1291,22:15,101,97,0,0,
640,Tom Pyatt\pyattto01,31,OTT,C,37,0,2,2,-16,2,-1.0,0,0,0,0,2,0,0,29,0.0,433,11:43,46,15,56,92,37.8
641,Mark Pysyk\pysykma01,27,FLA,D,46,0,7,7,-4,16,2.0,0,0,0,0,6,0,1,46,0.0,847,18:24,65,95,0,0,
642,John Quenneville\quennjo02,22,NJD,C,15,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,12,0.0,168,11:13,5,18,4,6,40.0
643,Alan Quine\quineal01,25,CGY,C,9,3,1,4,0,2,0.5,2,1,0,0,1,0,0,6,50.0,85,9:27,1,9,7,8,46.7
644,Lukas Radil\radillu01,28,SJS,C,30,6,4,10,10,6,1.5,6,0,0,2,4,0,0,37,16.2,323,10:46,8,24,5,2,71.4
645,Alexander Radulov\radulal01,32,DAL,RW,48,15,31,46,11,42,5.6,11,4,0,3,21,10,0,133,11.3,943,19:38,50,48,4,8,33.3
646,Michael Raffl\rafflmi01,30,PHI,LW,45,4,7,11,4,22,1.0,3,0,1,1,7,0,0,44,9.1,521,11:34,14,69,12,15,44.4
647,Rickard Rakell\rakelri01,25,ANA,RW,46,9,17,26,-19,10,1.7,7,2,0,1,12,5,0,124,7.3,856,18:37,27,59,12,16,42.9
648,Mikko Rantanen\rantami01,22,COL,RW,58,24,52,76,12,42,8.5,13,11,0,3,37,15,0,145,16.6,1221,21:03,30,44,15,15,50.0
649,Victor Rask\raskvi01,25,TOT,C,36,2,6,8,-4,6,0.5,2,0,0,0,4,2,0,37,5.4,435,12:04,11,32,148,174,46.0
649,Victor Rask\raskvi01,25,CAR,C,26,1,5,6,-3,4,0.3,1,0,0,0,3,2,0,25,4.0,313,12:02,8,25,111,135,45.1
649,Victor Rask\raskvi01,25,MIN,C,10,1,1,2,-1,2,0.1,1,0,0,0,1,0,0,12,8.3,122,12:11,3,7,37,39,48.7
650,Michael Rasmussen\rasmumi01,19,DET,C,48,7,8,15,-3,23,1.3,3,4,0,0,8,0,0,58,12.1,595,12:24,16,61,10,27,27.0
651,Ty Rattie\rattity01,25,EDM,RW,37,4,6,10,-2,4,0.8,4,0,0,1,5,1,0,68,5.9,450,12:09,6,42,1,2,33.3
652,Kyle Rau\rauky01,26,MIN,C,6,0,1,1,0,0,0.1,0,0,0,0,1,0,0,6,0.0,42,7:01,2,11,3,1,75.0
